,AFG,AHO,ALG,ANZ,ARG,ARM,AUS,AUT,AZE,BAH,BAR,BDI,BEL,BER,BLR,BOH,BOT,BRA,BRN,BUL,CAN,CHI,CHN,CIV,CMR,COL,CRC,CRO,CUB,CYP,CZE,DEN,DJI,DOM,ECU,EGY,ERI,ESP,EST,ETH,EUN,FIJ,FIN,FRA,FRG,GAB,GBR,GDR,GEO,GER,GHA,GRE,GRN,GUA,GUY,HAI,HKG,HUN,INA,IND,IOA,IRI,IRL,IRQ,ISL,ISR,ISV,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KOR,KOS,KSA,KUW,LAT,LIB,LIE,LTU,LUX,MAR,MAS,MDA,MEX,MGL,MKD,MNE,MON,MOZ,MRI,NAM,NED,NEP,NGR,NIG,NOR,NZL,PAK,PAN,PAR,PER,PHI,POL,POR,PRK,PUR,QAT,ROU,RSA,RUS,SCG,SEN,SGP,SLO,SRB,SRI,SUD,SUI,SUR,SVK,SWE,SYR,TAN,TCH,TGA,THA,TJK,TOG,TPE,TTO,TUN,TUR,UAE,UAR,UGA,UKR,URS,URU,USA,UZB,VEN,VIE,WIF,YUG,ZAM,ZIM
1936,16.0,0.0,0.0,0.0,68.0,0.0,42.0,435.0,0.0,0.0,0.0,0.0,242.0,9.0,0.0,0.0,0.0,94.0,0.0,96.0,208.0,56.0,65.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,173.0,0.0,0.0,0.0,66.0,0.0,6.0,45.0,0.0,0.0,0.0,222.0,337.0,0.0,0.0,290.0,0.0,0.0,648.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,364.0,0.0,30.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,397.0,0.0,0.0,374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,12.0,0.0,134.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,246.0,0.0,0.0,0.0,131.0,9.0,0.0,0.0,0.0,46.0,40.0,209.0,26.0,0.0,0.0,0.0,140.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,0.0,0.0,269.0,0.0,0.0,354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,40.0,561.0,0.0,0.0,0.0,0.0,197.0,0.0,0.0
1948,25.0,0.0,0.0,0.0,315.0,0.0,103.0,323.0,0.0,0.0,0.0,0.0,201.0,28.0,0.0,0.0,0.0,105.0,0.0,9.0,235.0,83.0,33.0,0.0,0.0,11.0,0.0,0.0,112.0,0.0,0.0,255.0,0.0,0.0,0.0,166.0,0.0,96.0,0.0,0.0,0.0,0.0,260.0,493.0,0.0,0.0,668.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,7.0,0.0,0.0,265.0,0.0,89.0,0.0,39.0,83.0,13.0,35.0,0.0,0.0,391.0,26.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,12.0,18.0,0.0,115.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,202.0,0.0,0.0,0.0,172.0,8.0,44.0,2.0,0.0,49.0,31.0,96.0,65.0,0.0,9.0,0.0,14.0,43.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,386.0,0.0,0.0,293.0,1.0,0.0,227.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,79.0,521.0,0.0,2.0,0.0,0.0,192.0,0.0,0.0
1952,0.0,11.0,0.0,0.0,195.0,0.0,159.0,312.0,0.0,7.0,0.0,0.0,199.0,12.0,0.0,0.0,0.0,119.0,0.0,198.0,214.0,89.0,1.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,202.0,0.0,0.0,0.0,196.0,0.0,53.0,0.0,0.0,0.0,0.0,485.0,453.0,0.0,0.0,436.0,0.0,0.0,442.0,9.0,60.0,0.0,35.0,1.0,0.0,9.0,366.0,3.0,94.0,0.0,23.0,25.0,0.0,42.0,31.0,0.0,428.0,16.0,0.0,158.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,101.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,203.0,0.0,15.0,0.0,291.0,26.0,51.0,1.0,0.0,0.0,28.0,290.0,156.0,0.0,23.0,0.0,266.0,109.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,327.0,0.0,0.0,449.0,0.0,0.0,245.0,0.0,15.0,0.0,0.0,0.0,2.0,0.0,58.0,0.0,0.0,0.0,0.0,451.0,42.0,547.0,0.0,63.0,0.0,0.0,203.0,0.0,0.0
1956,12.0,0.0,0.0,0.0,44.0,0.0,429.0,144.0,0.0,5.0,0.0,0.0,88.0,3.0,0.0,0.0,0.0,63.0,0.0,97.0,202.0,50.0,0.0,0.0,0.0,47.0,0.0,0.0,24.0,0.0,0.0,51.0,0.0,0.0,0.0,6.0,0.0,30.0,0.0,30.0,0.0,5.0,199.0,279.0,0.0,0.0,352.0,0.0,0.0,351.0,0.0,22.0,0.0,0.0,6.0,0.0,4.0,199.0,24.0,79.0,0.0,26.0,25.0,0.0,16.0,3.0,0.0,300.0,13.0,0.0,248.0,0.0,31.0,0.0,46.0,0.0,0.0,0.0,0.0,8.0,14.0,0.0,27.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,14.0,0.0,106.0,57.0,79.0,0.0,0.0,10.0,48.0,192.0,18.0,0.0,14.0,0.0,138.0,90.0,0.0,0.0,0.0,52.0,0.0,0.0,3.0,0.0,98.0,0.0,0.0,279.0,0.0,0.0,225.0,0.0,40.0,0.0,0.0,23.0,10.0,0.0,38.0,0.0,0.0,5.0,0.0,492.0,29.0,535.0,0.0,38.0,0.0,0.0,73.0,0.0,0.0
1960,16.0,5.0,0.0,0.0,130.0,0.0,318.0,240.0,0.0,14.0,0.0,0.0,150.0,9.0,0.0,0.0,0.0,86.0,0.0,198.0,215.0,21.0,0.0,0.0,0.0,23.0,0.0,0.0,21.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,15.0,0.0,3.0,293.0,418.0,0.0,0.0,428.0,0.0,0.0,535.0,15.0,59.0,0.0,0.0,6.0,1.0,4.0,316.0,27.0,49.0,0.0,24.0,63.0,28.0,21.0,46.0,0.0,460.0,0.0,0.0,351.0,0.0,30.0,0.0,69.0,0.0,0.0,0.0,0.0,27.0,17.0,0.0,117.0,111.0,0.0,0.0,110.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,173.0,0.0,15.0,0.0,105.0,59.0,53.0,8.0,0.0,33.0,49.0,335.0,109.0,0.0,29.0,0.0,156.0,76.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,13.0,261.0,0.0,0.0,330.0,0.0,0.0,224.0,0.0,24.0,0.0,0.0,31.0,0.0,56.0,64.0,0.0,123.0,16.0,0.0,505.0,42.0,533.0,0.0,54.0,0.0,20.0,185.0,0.0,10.0
1964,8.0,4.0,7.0,0.0,170.0,0.0,406.0,198.0,0.0,12.0,0.0,0.0,85.0,4.0,0.0,0.0,0.0,65.0,0.0,135.0,289.0,27.0,0.0,10.0,2.0,40.0,2.0,0.0,76.0,0.0,0.0,76.0,0.0,1.0,0.0,83.0,0.0,79.0,0.0,19.0,0.0,0.0,238.0,264.0,0.0,0.0,366.0,0.0,0.0,622.0,40.0,26.0,0.0,0.0,1.0,0.0,50.0,361.0,0.0,112.0,0.0,108.0,35.0,19.0,15.0,13.0,0.0,349.0,32.0,0.0,541.0,0.0,41.0,0.0,256.0,0.0,0.0,0.0,0.0,20.0,15.0,0.0,27.0,21.0,81.0,0.0,128.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,170.0,6.0,19.0,1.0,133.0,88.0,47.0,15.0,0.0,40.0,70.0,326.0,25.0,20.0,45.0,0.0,263.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,7.0,0.0,233.0,0.0,0.0,278.0,0.0,4.0,256.0,0.0,67.0,0.0,0.0,96.0,18.0,12.0,37.0,0.0,0.0,19.0,0.0,570.0,29.0,619.0,0.0,23.0,0.0,0.0,177.0,15.0,33.0
1968,5.0,5.0,9.0,0.0,144.0,0.0,231.0,171.0,0.0,22.0,13.0,0.0,106.0,6.0,0.0,0.0,0.0,89.0,0.0,205.0,402.0,36.0,0.0,11.0,5.0,70.0,27.0,0.0,227.0,0.0,0.0,99.0,0.0,24.0,41.0,35.0,0.0,165.0,0.0,26.0,0.0,1.0,221.0,429.0,569.0,0.0,392.0,431.0,0.0,0.0,36.0,52.0,0.0,67.0,6.0,0.0,25.0,324.0,6.0,30.0,0.0,26.0,57.0,4.0,24.0,39.0,6.0,347.0,35.0,0.0,384.0,0.0,50.0,0.0,80.0,0.0,0.0,2.0,0.0,21.0,20.0,0.0,7.0,33.0,35.0,0.0,446.0,48.0,0.0,0.0,2.0,0.0,0.0,0.0,166.0,0.0,46.0,2.0,193.0,80.0,15.0,16.0,1.0,33.0,89.0,348.0,33.0,0.0,99.0,0.0,141.0,0.0,0.0,0.0,24.0,6.0,0.0,0.0,3.0,7.0,217.0,1.0,0.0,298.0,2.0,5.0,274.0,0.0,46.0,0.0,0.0,93.0,25.0,8.0,50.0,0.0,0.0,14.0,0.0,592.0,50.0,664.0,0.0,30.0,0.0,0.0,176.0,7.0,0.0
1972,8.0,2.0,7.0,0.0,129.0,0.0,278.0,211.0,0.0,25.0,20.0,0.0,109.0,9.0,0.0,0.0,0.0,104.0,0.0,238.0,429.0,13.0,0.0,13.0,18.0,75.0,4.0,0.0,201.0,0.0,0.0,155.0,0.0,5.0,4.0,26.0,0.0,169.0,0.0,40.0,0.0,4.0,216.0,425.0,709.0,1.0,504.0,523.0,0.0,0.0,41.0,72.0,0.0,11.0,4.0,7.0,18.0,368.0,7.0,43.0,0.0,68.0,84.0,0.0,30.0,17.0,16.0,414.0,51.0,0.0,427.0,0.0,69.0,0.0,54.0,0.0,14.0,4.0,0.0,38.0,22.0,0.0,15.0,39.0,57.0,0.0,281.0,52.0,0.0,0.0,5.0,0.0,0.0,0.0,225.0,2.0,36.0,4.0,275.0,118.0,26.0,8.0,3.0,31.0,83.0,484.0,41.0,93.0,60.0,0.0,281.0,0.0,0.0,0.0,40.0,12.0,0.0,0.0,6.0,31.0,344.0,3.0,0.0,287.0,5.0,22.0,335.0,0.0,37.0,0.0,7.0,53.0,36.0,37.0,50.0,0.0,0.0,35.0,0.0,649.0,20.0,725.0,0.0,33.0,0.0,0.0,243.0,12.0,0.0
1976,0.0,4.0,0.0,0.0,122.0,0.0,293.0,189.0,0.0,19.0,17.0,0.0,160.0,20.0,0.0,0.0,0.0,89.0,0.0,296.0,640.0,20.0,0.0,11.0,4.0,44.0,10.0,0.0,194.0,0.0,0.0,81.0,0.0,11.0,8.0,26.0,0.0,171.0,0.0,0.0,0.0,5.0,187.0,361.0,557.0,0.0,423.0,504.0,0.0,0.0,0.0,50.0,0.0,28.0,0.0,14.0,50.0,291.0,11.0,26.0,0.0,116.0,59.0,0.0,38.0,34.0,26.0,406.0,36.0,0.0,415.0,0.0,0.0,0.0,60.0,0.0,19.0,21.0,0.0,5.0,29.0,0.0,9.0,9.0,25.0,0.0,137.0,33.0,0.0,0.0,10.0,0.0,0.0,0.0,198.0,1.0,0.0,0.0,160.0,111.0,24.0,13.0,6.0,14.0,22.0,379.0,36.0,40.0,112.0,0.0,298.0,0.0,0.0,0.0,33.0,4.0,0.0,0.0,0.0,0.0,187.0,4.0,0.0,241.0,0.0,0.0,341.0,0.0,62.0,0.0,0.0,11.0,20.0,16.0,47.0,0.0,0.0,0.0,0.0,695.0,15.0,705.0,0.0,56.0,0.0,0.0,136.0,0.0,0.0
1980,11.0,0.0,63.0,0.0,26.0,0.0,209.0,158.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,8.0,149.0,0.0,413.0,86.0,0.0,38.0,0.0,29.0,28.0,40.0,0.0,288.0,21.0,0.0,60.0,0.0,7.0,16.0,0.0,0.0,226.0,0.0,48.0,0.0,0.0,210.0,244.0,118.0,0.0,404.0,582.0,0.0,0.0,0.0,51.0,0.0,10.0,10.0,0.0,0.0,394.0,0.0,78.0,0.0,0.0,57.0,44.0,24.0,0.0,0.0,277.0,32.0,6.0,80.0,0.0,0.0,0.0,24.0,0.0,0.0,67.0,0.0,26.0,17.0,0.0,4.0,0.0,0.0,0.0,74.0,67.0,0.0,0.0,0.0,16.0,0.0,0.0,159.0,10.0,56.0,0.0,100.0,18.0,0.0,0.0,0.0,38.0,0.0,457.0,18.0,121.0,3.0,0.0,381.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,4.0,0.0,159.0,0.0,0.0,310.0,71.0,48.0,391.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,16.0,0.0,789.0,0.0,155.0,0.0,43.0,38.0,0.0,207.0,43.0,52.0
