,AFG,AHO,ALG,ANZ,ARG,ARM,AUS,AUT,AZE,BAH,BAR,BDI,BEL,BER,BLR,BOH,BOT,BRA,BRN,BUL,CAN,CHI,CHN,CIV,CMR,COL,CRC,CRO,CUB,CYP,CZE,DEN,DJI,DOM,ECU,EGY,ERI,ESP,EST,ETH,EUN,FIJ,FIN,FRA,FRG,GAB,GBR,GDR,GEO,GER,GHA,GRE,GRN,GUA,GUY,HAI,HKG,HUN,INA,IND,IOA,IRI,IRL,IRQ,ISL,ISR,ISV,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KOR,KOS,KSA,KUW,LAT,LIB,LIE,LTU,LUX,MAR,MAS,MDA,MEX,MGL,MKD,MNE,MON,MOZ,MRI,NAM,NED,NEP,NGR,NIG,NOR,NZL,PAK,PAN,PAR,PER,PHI,POL,POR,PRK,PUR,QAT,ROU,RSA,RUS,SCG,SEN,SGP,SLO,SRB,SRI,SUD,SUI,SUR,SVK,SWE,SYR,TAN,TCH,TGA,THA,TJK,TOG,TPE,TTO,TUN,TUR,UAE,UAR,UGA,UKR,URS,URU,USA,UZB,VEN,VIE,WIF,YUG,ZAM,ZIM
1936,0.0,0.0,0.0,0.0,11.0,0.0,1.0,60.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,36.0,45.0,0.0,0.0,53.0,0.0,0.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,46.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,45.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1948,0.0,0.0,0.0,0.0,11.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,51.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,42.0,77.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,20.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,68.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,31.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,5.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,64.0,0.0,0.0,88.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,168.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
1952,0.0,0.0,0.0,0.0,6.0,0.0,20.0,11.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,52.0,41.0,0.0,0.0,32.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,15.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,56.0,8.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,32.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,93.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,117.0,14.0,164.0,0.0,1.0,0.0,0.0,24.0,0.0,0.0
1956,0.0,0.0,0.0,0.0,2.0,0.0,67.0,16.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,39.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,33.0,0.0,0.0,46.0,0.0,0.0,54.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,17.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,55.0,0.0,0.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,14.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,49.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,206.0,12.0,149.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0
1960,0.0,0.0,0.0,0.0,4.0,0.0,46.0,9.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,13.0,0.0,7.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,19.0,15.0,0.0,0.0,28.0,0.0,0.0,98.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,13.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,89.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,11.0,3.0,14.0,0.0,0.0,0.0,0.0,32.0,2.0,0.0,0.0,0.0,15.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,16.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,211.0,0.0,152.0,0.0,1.0,0.0,5.0,17.0,0.0,0.0
1964,0.0,0.0,0.0,0.0,1.0,0.0,44.0,17.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,12.0,0.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,38.0,0.0,0.0,30.0,0.0,0.0,126.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,15.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,62.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,1.0,0.0,15.0,6.0,16.0,0.0,0.0,0.0,1.0,46.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,43.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,221.0,1.0,177.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
1968,0.0,0.0,0.0,0.0,2.0,0.0,51.0,20.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,26.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,36.0,61.0,0.0,19.0,58.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,16.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,41.0,1.0,0.0,63.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,28.0,7.0,13.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,25.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,229.0,0.0,173.0,0.0,1.0,0.0,0.0,29.0,0.0,0.0
1972,0.0,0.0,0.0,0.0,1.0,0.0,20.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,22.0,12.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,20.0,25.0,112.0,0.0,29.0,171.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,14.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,34.0,1.0,0.0,59.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,1.0,25.0,14.0,15.0,0.0,0.0,0.0,0.0,47.0,0.0,15.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,26.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,259.0,0.0,195.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0
1976,0.0,0.0,0.0,0.0,0.0,0.0,23.0,8.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,3.0,0.0,39.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,22.0,21.0,110.0,0.0,33.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,35.0,2.0,0.0,41.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,16.0,25.0,16.0,0.0,0.0,0.0,0.0,73.0,2.0,2.0,1.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,12.0,0.0,0.0,34.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,0.0,175.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0
1980,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,91.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,4.0,0.0,0.0,21.0,30.0,8.0,0.0,48.0,303.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,63.0,0.0,16.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,40.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,5.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,43.0,0.0,2.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,496.0,0.0,30.0,0.0,1.0,0.0,0.0,57.0,0.0,15.0
